3372 9769
417 564 B
230 545 B
295 630 B
48 606 A
365 672 A
186 310 B
146 467 A
426 577 B
92 220 B
681 695 B
284 386 B
115 165 B
544 606 B
277 647 B
328 674 A
588 693 A
482 499 A
309 362 A
651 713 B
416 595 A
505 676 A
195 448 A
600 641 B
596 667 A
274 714 A
488 592 B
522 603 B
146 319 A
157 363 B
560 588 A
635 693 A
315 704 B
403 551 A
190 586 B
299 505 A
232 621 B
143 575 B
690 706 B
207 640 B
110 403 A
661 689 B
113 479 A
542 623 A
705 709 A
512 563 B
402 614 B
445 676 A
649 651 B
531 601 A
161 698 A
559 625 B
453 706 A
633 645 B
411 601 B
482 640 A
243 569 B
447 618 A
700 713 A
92 680 A
251 645 B
161 636 B
309 370 A
116 162 A
422 426 A
539 542 B
248 326 A
371 544 A
478 482 A
538 664 B
704 712 B
211 237 B
243 441 A
582 588 A
500 694 B
597 673 B
407 441 B
69 247 B
475 708 A
562 626 B
84 473 B
24 75 B
134 161 B
652 694 A
398 603 A
98 503 A
588 695 B
206 394 A
325 692 A
275 702 A
605 661 B
37 257 A
2 110 A
254 324 A
626 649 B
670 712 A
662 711 A
60 316 A
332 499 B
465 602 B
353 494 A
590 628 B
30 691 B
171 314 B
704 705 A
473 604 B
118 546 A
666 693 A
574 646 A
604 695 A
598 624 B
364 584 A
114 199 B
42 485 A
546 652 B
138 578 A
387 679 A
398 592 A
367 668 A
339 678 A
713 714 B
216 348 B
561 576 A
40 606 A
540 663 B
484 715 A
451 714 A
109 348 A
605 698 B
486 597 A
83 227 A
425 461 B
53 704 B
668 676 A
342 635 B
118 281 A
583 716 B
681 719 B
523 674 A
561 694 B
374 410 A
1 322 B
434 546 A
565 680 A
133 304 A
313 545 B
568 700 A
354 364 A
8 105 A
440 631 A
553 712 B
398 544 A
562 579 A
473 543 B
368 406 A
453 651 A
494 592 B
452 557 A
658 683 B
396 455 A
436 573 A
671 713 B
275 486 B
571 649 A
38 446 B
469 620 A
364 639 A
513 660 A
9 154 A
319 425 A
163 505 B
704 710 B
463 467 B
126 614 B
101 589 B
34 219 B
414 560 B
244 315 A
489 702 A
132 137 B
590 618 A
485 491 B
257 378 A
225 356 B
390 518 A
257 296 B
490 521 A
681 705 A
419 666 B
77 281 B
377 449 B
708 713 B
639 663 A
335 652 B
716 717 B
209 402 A
155 634 A
477 676 A
638 676 A
388 400 B
391 393 A
617 712 B
215 455 B
99 266 B
400 431 A
177 299 A
699 700 A
202 354 A
95 554 A
477 517 A
670 710 B
104 212 A
346 388 A
248 370 A
260 675 B
521 534 B
249 690 B
441 670 A
249 611 A
35 472 B
410 613 B
683 698 A
621 629 A
678 691 B
152 241 B
303 462 B
8 184 B
437 536 B
146 413 A
564 677 B
644 692 B
664 680 A
714 715 B
90 418 A
710 714 B
44 609 B
312 379 A
45 680 A
21 293 B
432 437 B
683 688 A
412 716 A
353 649 A
317 628 B
92 574 A
56 661 A
490 610 B
355 586 A
405 614 A
481 518 A
687 707 A
3 449 A
705 717 A
219 456 A
167 191 A
131 363 B
368 502 B
98 682 B
120 363 A
456 709 B
448 516 A
510 572 B
637 694 B
705 714 B
311 684 A
107 486 A
563 592 B
229 530 B
290 438 A
273 394 B
655 718 B
398 517 B
705 708 A
475 692 B
657 684 A
427 482 A
433 536 A
716 719 A
675 699 A
602 643 B
479 703 B
633 710 B
220 571 A
417 614 B
91 166 B
126 339 A
300 708 B
268 590 A
633 667 B
362 441 A
181 574 A
68 604 A
630 660 A
566 592 B
367 679 A
359 501 B
432 594 B
493 631 A
676 716 B
566 582 B
508 513 B
497 613 A
425 637 B
209 553 B
643 657 A
538 692 B
90 421 A
269 540 A
388 564 B
619 706 A
255 314 A
335 705 B
365 388 A
590 626 A
171 243 A
571 592 A
240 653 A
276 530 A
75 522 B
620 683 A
230 487 B
705 711 B
437 679 B
468 527 B
216 472 B
196 513 B
346 497 A
295 387 A
580 689 B
302 324 B
698 719 B
314 710 A
63 594 A
476 489 A
447 698 B
354 457 B
290 291 A
596 617 B
222 582 B
108 640 B
523 650 B
508 591 B
356 711 A
235 237 A
401 661 B
499 692 B
259 269 B
186 346 B
118 205 A
465 585 A
450 546 B
142 604 A
460 700 B
97 445 A
57 335 A
460 572 A
560 566 A
221 504 A
342 424 B
209 275 B
473 509 A
463 710 A
68 415 A
252 617 B
643 708 A
204 584 B
7 253 A
77 186 A
594 674 A
660 677 B
28 670 B
270 403 A
639 642 A
659 679 B
566 651 A
344 540 A
291 563 A
161 590 B
296 624 A
230 690 A
563 715 A
8 538 B
610 693 B
290 448 B
331 619 A
317 699 A
418 531 B
94 573 B
244 585 B
556 645 A
135 306 B
200 317 A
449 702 A
678 686 A
21 188 B
571 664 A
356 392 B
620 698 A
352 421 B
20 177 A
227 624 A
2 450 B
634 704 A
457 514 B
673 685 A
514 707 B
524 556 B
119 674 A
9 683 A
614 669 B
242 463 A
5 552 A
215 312 B
701 707 A
649 701 A
455 498 A
539 663 A
307 416 B
627 672 B
509 614 A
353 519 A
186 219 A
400 680 B
349 598 B
37 393 A
324 529 A
481 631 A
381 491 B
450 472 B
562 597 B
503 551 A
29 494 B
80 370 A
504 599 A
120 337 A
160 689 B
223 594 B
424 535 A
358 675 A
576 656 B
164 252 A
414 461 A
124 405 B
425 504 A
685 687 B
272 638 B
510 718 A
187 564 B
537 653 A
538 621 A
497 557 B
717 719 B
633 681 A
145 152 B
322 651 A
409 462 A
350 680 A
568 705 A
101 459 B
663 691 B
363 374 A
88 610 B
238 656 B
531 683 A
289 489 B
51 671 A
124 684 B
552 600 B
112 619 A
70 102 B
99 419 B
85 200 B
587 650 A
125 397 A
172 418 B
263 633 B
138 266 A
21 286 B
451 579 B
89 434 B
471 694 A
622 657 A
276 379 B
105 465 A
516 559 A
368 403 A
462 535 B
515 712 B
434 499 B
443 687 A
87 660 A
353 418 A
235 546 B
122 706 B
457 530 B
115 690 A
688 717 A
653 679 A
85 581 A
65 690 B
664 700 A
222 704 A
348 512 A
564 589 B
638 709 A
521 665 B
523 670 B
106 120 A
640 668 B
58 220 B
624 694 A
309 421 B
679 711 B
16 235 A
346 389 B
589 665 A
233 410 A
420 594 B
312 590 B
140 639 B
708 719 A
148 661 B
65 616 A
488 574 A
96 715 B
688 696 A
423 482 B
422 473 A
316 527 B
677 695 B
224 610 B
646 703 B
57 668 A
34 692 B
344 550 B
26 253 B
142 715 B
171 190 B
279 334 A
669 676 B
334 563 A
317 658 B
677 682 B
455 500 B
473 669 B
227 572 B
504 599 A
568 627 A
495 554 B
341 345 B
264 701 B
21 302 A
503 592 A
301 663 B
353 463 A
446 694 A
156 206 A
636 720 B
579 695 A
198 528 B
277 323 B
574 647 B
456 531 B
278 538 A
307 438 A
467 699 B
695 699 A
571 692 B
219 710 A
554 639 A
650 719 A
126 434 A
53 305 A
517 608 A
300 338 A
158 638 B
245 595 B
368 584 A
163 689 A
527 678 A
647 658 A
396 402 A
348 513 B
413 528 B
580 648 B
369 433 A
163 670 B
479 520 A
718 720 B
435 530 B
248 595 A
353 441 B
364 436 A
665 714 A
5 447 B
394 580 A
159 209 B
630 676 A
258 601 A
516 704 B
503 540 A
216 273 B
516 666 A
102 381 B
186 515 A
62 322 B
223 242 A
253 643 A
408 585 B
310 477 A
313 719 A
297 484 B
450 515 A
138 678 B
592 655 B
105 255 A
596 624 B
512 513 A
155 273 B
525 658 B
602 606 A
26 84 B
464 695 B
528 638 A
424 687 A
155 571 B
592 652 B
299 372 B
483 610 A
351 429 A
391 623 B
470 491 B
404 629 A
52 93 B
289 390 B
661 681 A
182 371 B
74 645 B
333 632 A
144 716 B
706 720 B
190 393 A
509 662 A
272 516 A
558 633 A
100 101 B
354 636 A
160 512 B
309 350 A
533 544 B
265 405 A
491 627 A
506 586 B
566 595 B
10 134 A
670 697 A
223 256 A
293 700 A
515 524 A
375 467 A
239 707 A
51 297 B
228 370 A
560 602 B
463 483 B
171 377 B
254 504 B
132 509 B
450 671 A
512 573 B
399 711 A
242 625 A
244 570 A
240 263 A
319 627 B
34 52 B
67 527 A
664 714 B
420 523 A
684 706 A
269 272 B
380 464 A
370 619 B
315 443 B
113 481 A
537 583 A
343 374 A
706 708 A
42 557 B
44 69 A
152 324 A
286 369 A
330 499 B
421 688 B
453 617 A
237 419 B
176 365 B
373 390 A
584 597 A
333 353 B
303 488 B
10 702 A
140 310 B
146 434 A
440 580 A
463 646 B
556 675 A
489 523 B
182 431 A
48 449 A
657 709 A
436 500 A
212 622 B
108 683 A
66 82 A
24 576 B
253 338 A
539 680 B
205 384 B
583 709 A
597 714 B
354 458 A
304 689 A
677 691 B
395 559 A
458 512 B
407 461 A
536 709 A
284 413 A
681 696 B
434 567 B
142 326 B
698 716 A
198 386 A
351 377 B
370 449 A
203 665 B
84 597 A
250 555 A
260 480 B
54 603 B
599 637 B
63 351 B
177 408 B
496 555 A
130 389 A
154 577 A
611 632 A
609 627 B
263 510 A
97 316 B
504 643 A
437 660 B
207 310 B
712 718 B
150 476 B
581 620 B
571 678 A
78 179 A
194 266 B
164 551 B
628 694 B
499 564 A
716 720 B
641 712 B
302 502 A
240 678 B
113 417 A
19 188 B
512 539 B
517 715 A
307 348 B
577 603 B
361 412 B
421 532 B
13 675 B
179 248 A
246 661 A
625 674 A
487 622 B
294 484 A
340 709 A
272 696 B
717 720 A
278 327 A
112 239 B
611 666 B
630 720 A
41 196 A
33 538 B
91 496 B
582 652 B
12 115 B
492 511 A
682 715 A
581 622 A
344 665 B
153 238 A
555 649 A
615 683 A
688 705 B
649 700 A
414 420 A
11 106 A
403 526 B
333 507 A
389 633 B
59 131 A
271 483 B
640 696 B
63 413 A
183 667 A
523 668 B
131 406 A
306 447 B
673 679 A
506 577 A
507 516 A
246 272 B
21 162 A
470 654 A
308 357 A
54 386 A
48 202 B
698 703 B
603 640 A
427 504 A
676 719 A
113 308 B
611 702 B
692 708 A
576 693 B
225 308 A
645 664 A
469 621 A
636 697 A
105 187 A
136 291 B
96 148 B
649 680 B
543 683 B
18 96 B
636 647 B
383 519 B
369 524 A
676 719 A
455 516 B
654 708 B
534 574 B
441 652 B
311 548 A
60 315 A
99 720 B
624 717 B
2 254 B
698 705 A
38 558 B
681 711 B
638 711 A
554 667 A
80 449 A
345 511 B
630 693 A
285 335 B
194 483 A
573 671 A
85 671 A
216 418 A
687 717 A
235 413 A
509 510 B
593 621 B
97 149 B
161 213 A
223 515 B
675 699 B
168 630 B
557 650 A
369 515 A
668 683 B
536 701 B
491 611 A
621 696 A
517 570 A
626 688 B
7 547 A
66 148 A
344 473 B
9 705 A
548 610 B
434 564 A
245 504 A
163 531 B
655 697 A
457 664 A
463 602 B
381 660 A
145 501 A
384 541 B
612 666 B
322 375 A
214 239 A
75 559 B
543 607 B
656 681 A
634 649 B
611 617 B
16 594 B
687 705 A
306 334 A
443 547 B
249 698 A
147 166 B
530 690 A
290 331 A
708 716 B
702 705 A
444 487 A
592 684 A
390 599 A
362 642 B
54 118 B
270 503 B
496 564 B
268 336 B
247 545 A
589 672 A
582 650 A
299 535 B
466 538 A
585 592 A
175 256 B
244 395 B
472 616 A
409 610 B
316 399 B
359 668 A
16 564 B
587 591 A
225 382 A
46 134 A
534 710 B
612 622 A
36 47 A
607 700 A
341 481 B
503 648 A
366 407 B
594 612 B
212 549 B
225 574 B
31 583 B
396 688 B
281 478 A
345 574 A
32 132 B
244 396 A
339 613 A
514 573 A
57 199 B
451 645 B
622 699 A
624 680 B
475 518 B
33 660 B
594 654 B
445 551 A
433 643 A
531 554 B
2 586 B
84 476 B
265 565 B
483 675 B
275 475 B
189 268 B
361 470 A
353 571 A
326 355 B
110 284 B
627 694 A
676 707 A
320 429 B
534 538 B
234 607 A
35 610 B
323 530 B
454 592 A
503 669 B
671 678 A
474 565 A
620 690 B
520 557 A
79 646 A
374 600 A
509 625 B
56 368 A
530 668 B
665 683 A
159 513 A
416 602 A
137 143 A
567 609 B
282 402 B
433 601 B
393 513 A
672 699 A
303 567 A
79 505 A
199 536 B
45 475 B
341 555 A
16 273 A
578 710 B
432 463 B
614 645 A
149 153 B
236 419 A
322 633 B
2 716 A
563 604 B
301 535 B
395 541 A
658 682 B
174 244 B
381 396 B
413 592 B
296 418 A
640 697 A
568 576 B
88 699 B
390 677 B
673 700 A
638 689 B
400 604 B
121 690 A
583 659 A
254 712 A
191 240 B
274 479 A
607 684 A
588 704 B
188 526 B
327 700 B
499 716 A
694 719 B
203 403 A
402 481 B
233 665 A
205 227 B
585 616 B
466 612 A
518 545 A
290 515 B
202 225 A
651 660 A
492 505 B
219 308 A
67 461 B
672 702 B
539 700 A
242 375 A
659 696 A
491 514 B
555 561 B
383 418 B
194 597 B
194 589 B
596 684 A
408 632 A
251 707 B
305 666 B
220 475 A
228 355 B
558 626 B
482 704 A
718 720 B
260 606 B
178 207 B
687 693 B
384 575 A
548 653 A
154 467 A
662 665 A
80 423 B
677 684 A
412 481 A
181 390 B
373 392 A
357 596 A
689 693 A
399 566 B
671 707 B
540 652 B
458 551 B
412 652 A
43 644 A
288 598 A
168 553 A
258 450 A
70 447 B
703 716 B
63 65 A
296 686 B
661 666 B
11 584 B
40 323 B
191 582 B
707 717 B
704 720 B
545 596 B
113 174 B
534 560 A
317 645 A
93 369 A
393 700 B
186 486 A
358 620 B
717 720 A
165 703 A
248 430 B
671 676 A
378 582 B
673 682 B
531 673 B
240 573 B
148 619 A
710 713 A
239 443 B
150 407 B
501 613 B
560 627 B
117 339 A
341 713 B
300 539 A
658 714 B
353 393 A
112 153 A
469 700 B
496 633 B
688 711 B
592 677 B
105 160 B
358 693 B
235 581 A
459 612 B
18 230 A
131 650 A
523 638 B
706 717 B
250 388 A
463 716 A
317 642 A
307 529 B
683 690 A
431 706 B
117 362 A
718 719 B
437 623 A
344 496 A
421 568 A
708 710 B
337 705 A
361 513 A
668 703 A
338 701 B
689 719 A
42 457 B
139 591 A
691 694 A
606 671 B
30 692 A
631 651 B
695 705 B
233 566 A
168 690 A
148 669 A
145 509 A
273 405 A
77 294 B
410 520 A
64 379 A
668 686 B
332 575 B
165 482 A
173 523 A
177 314 B
215 443 A
568 697 B
309 656 B
698 706 A
320 331 A
468 600 B
105 262 B
688 705 B
177 590 A
530 581 B
416 676 A
133 306 A
157 545 A
178 433 A
94 143 B
467 584 B
238 264 B
13 325 A
646 648 A
227 695 A
395 556 B
385 507 B
376 554 A
120 621 B
418 502 A
455 495 B
597 656 B
542 692 B
362 424 A
182 417 B
16 244 A
112 489 B
123 277 B
472 505 B
582 602 A
316 420 B
394 610 B
155 560 B
124 333 B
595 655 A
156 602 A
439 654 A
146 541 A
443 676 A
353 541 A
394 396 A
469 593 A
669 720 A
171 227 A
170 302 B
18 265 B
155 536 B
462 587 A
235 697 A
503 714 B
105 344 A
239 496 A
449 538 A
327 420 B
352 689 A
596 671 A
624 656 A
62 588 B
656 675 B
370 687 B
628 696 B
54 301 B
541 628 B
201 518 B
211 343 B
394 551 A
358 488 B
184 680 A
181 299 A
592 684 B
536 712 A
115 223 A
253 645 A
49 375 B
290 344 A
179 560 A
561 681 B
149 403 A
181 246 B
193 540 A
705 708 A
82 184 A
585 697 B
121 600 A
628 704 B
429 587 A
219 636 A
287 496 B
289 533 A
495 579 B
660 695 B
377 603 A
554 711 B
98 359 B
177 355 B
74 653 B
64 296 A
695 713 B
537 612 B
175 484 B
344 594 A
307 464 A
704 718 B
131 485 A
162 607 A
332 337 B
12 449 A
400 654 A
591 668 B
119 686 B
232 306 B
183 650 A
490 699 A
113 546 B
84 139 A
80 560 A
275 555 A
77 351 B
673 675 A
435 662 A
62 515 A
326 413 B
321 371 B
343 602 A
354 412 A
340 632 B
362 457 A
481 715 B
392 637 A
172 248 A
286 573 A
598 701 B
122 250 B
641 719 B
621 657 B
372 539 B
528 532 B
200 428 B
317 385 B
49 365 A
3 391 A
695 707 A
24 231 A
457 612 B
686 701 A
604 707 A
164 314 A
81 365 A
584 646 A
116 605 B
178 321 B
629 643 B
62 554 B
688 700 B
464 714 B
340 492 B
589 645 A
154 370 A
148 626 B
460 591 B
477 533 A
297 696 A
129 272 B
74 339 B
709 714 B
109 411 A
637 639 A
207 618 B
23 90 A
256 684 B
351 536 A
302 438 A
385 515 B
143 453 B
281 315 B
718 720 A
613 680 B
686 710 A
117 522 A
255 659 B
109 402 A
472 538 B
632 671 A
281 351 B
184 282 B
379 570 A
115 595 B
78 629 A
633 644 A
203 368 B
7 589 B
263 674 A
422 519 A
116 571 B
397 523 A
577 584 B
60 664 A
719 720 A
476 527 A
136 489 A
504 556 B
623 665 A
61 649 A
2 547 B
187 244 B
128 172 A
169 684 B
676 707 B
429 498 A
634 679 B
589 612 A
680 695 A
642 690 B
702 718 B
415 592 A
10 384 A
135 263 A
189 225 B
466 548 B
415 418 A
454 456 A
122 433 B
22 710 B
329 527 B
561 589 B
563 659 A
585 597 B
486 519 A
508 606 A
101 557 A
30 481 B
336 530 A
610 672 A
162 256 A
660 702 A
443 527 B
485 594 A
292 620 A
67 499 A
124 427 B
135 149 A
579 660 A
12 238 A
531 569 A
649 696 B
636 704 B
699 715 B
137 343 A
549 658 A
552 572 A
179 349 B
240 449 B
114 705 A
59 475 B
561 563 A
648 691 B
269 285 B
186 498 B
703 710 A
393 518 B
283 578 A
149 256 B
454 581 B
677 709 B
374 442 A
583 660 B
385 459 A
12 445 A
292 300 B
175 416 A
571 660 B
204 235 B
198 292 B
257 474 B
69 525 A
705 719 A
504 653 B
157 573 B
286 588 B
215 397 A
712 715 B
399 599 A
286 441 B
511 635 B
190 342 A
332 692 B
119 604 B
46 249 B
488 536 B
61 533 A
225 607 B
546 615 B
114 425 A
539 705 A
144 704 B
419 583 B
542 618 B
440 699 A
675 694 B
697 703 B
446 488 B
482 695 B
468 675 A
636 699 B
226 482 A
56 234 A
58 544 A
317 389 A
534 575 A
658 720 B
621 684 A
343 428 A
34 399 B
684 717 A
504 543 B
648 692 B
86 299 A
676 704 A
276 642 B
433 468 A
248 573 A
489 577 B
40 189 A
574 640 A
87 266 A
482 709 B
62 73 A
203 273 B
547 598 B
351 662 B
36 349 A
256 564 A
401 641 B
73 273 A
318 477 B
361 719 A
413 710 B
182 280 A
692 710 B
223 463 B
246 330 B
353 575 A
75 131 A
296 670 B
445 580 B
547 689 B
54 560 B
476 526 B
288 565 B
40 223 A
604 608 A
286 664 A
298 558 B
528 713 A
39 94 A
68 352 A
1 153 A
250 518 B
129 608 B
145 175 B
415 500 A
685 696 A
623 649 B
114 680 A
11 702 B
370 661 B
699 718 B
460 676 B
263 540 A
332 486 A
646 701 A
388 434 B
20 495 B
160 629 A
226 493 A
